p,q,distance,px,py,pz,qx,qy,qz
70229,9929771,1.7281212428,1.176568,-1.288958,-1.232831,2.279632,-0.002253,0.106533
70121,9929879,1.7285257680,1.176056,-1.289204,-1.232888,2.279743,-0.002250,0.106539
70061,9929939,1.7287506733,1.175771,-1.289340,-1.232919,2.279805,-0.002248,0.106543
70019,9929981,1.7289081791,1.175571,-1.289436,-1.232941,2.279848,-0.002247,0.106545
70001,9929999,1.7289756997,1.175485,-1.289477,-1.232950,2.279866,-0.002246,0.106547
69857,9930143,1.7295162573,1.174799,-1.289805,-1.233024,2.280015,-0.002242,0.106555
69809,9930191,1.7296965985,1.174570,-1.289914,-1.233048,2.280064,-0.002240,0.106558
69767,9930233,1.7298544609,1.174370,-1.290010,-1.233070,2.280108,-0.002239,0.106561
69557,9930443,1.7306446675,1.173365,-1.290489,-1.233176,2.280325,-0.002232,0.106573
69539,9930461,1.7307124690,1.173279,-1.290530,-1.233185,2.280343,-0.002232,0.106574
69473,9930527,1.7309611685,1.172962,-1.290681,-1.233217,2.280412,-0.002230,0.106578
69389,9930611,1.7312779091,1.172558,-1.290873,-1.233259,2.280499,-0.002227,0.106584
69371,9930629,1.7313458133,1.172472,-1.290914,-1.233268,2.280517,-0.002227,0.106585
69203,9930797,1.7319801180,1.171662,-1.291298,-1.233351,2.280692,-0.002221,0.106595
68993,9931007,1.7327743535,1.170647,-1.291778,-1.233452,2.280910,-0.002215,0.106608
68963,9931037,1.7328879389,1.170502,-1.291847,-1.233467,2.280941,-0.002214,0.106609
68891,9931109,1.7331606697,1.170153,-1.292012,-1.233501,2.281016,-0.002212,0.106614
68879,9931121,1.7332061421,1.170095,-1.292039,-1.233507,2.281028,-0.002211,0.106615
68777,9931223,1.7335928574,1.169599,-1.292273,-1.233555,2.281135,-0.002208,0.106621
68699,9931301,1.7338888222,1.169220,-1.292452,-1.233592,2.281216,-0.002206,0.106625
68633,9931367,1.7341394176,1.168898,-1.292603,-1.233623,2.281285,-0.002204,0.106629
68501,9931499,1.7346410590,1.168254,-1.292906,-1.233684,2.281423,-0.002199,0.106637
68483,9931517,1.7347095113,1.168166,-1.292947,-1.233693,2.281442,-0.002199,0.106639
68213,9931787,1.7357376413,1.166843,-1.293567,-1.233816,2.281724,-0.002190,0.106655
68207,9931793,1.7357605174,1.166814,-1.293581,-1.233819,2.281731,-0.002190,0.106655
68147,9931853,1.7359893467,1.166519,-1.293719,-1.233846,2.281794,-0.002188,0.106659
68087,9931913,1.7362183012,1.166224,-1.293857,-1.233873,2.281857,-0.002187,0.106663
67829,9932171,1.7372042355,1.164951,-1.294451,-1.233987,2.282128,-0.002178,0.106678
