p,p2,distance,pos_p_x,pos_p_y,pos_p_z,pos_p2_x,pos_p2_y,pos_p2_z
27479,27481,0.0000196141,-0.4997355573735211,0.8311548813387057,-0.957639595470464,-0.4997440971233069,0.8311387973375901,-0.9576560115870888
27407,27409,0.0000196920,-0.4994524564330689,0.8317764316632383,-0.9570945341431529,-0.4994610399555198,0.8317603104101877,-0.9571110365338473
27281,27283,0.0000198297,-0.49895321260359904,0.8328675045228114,-0.9561331503546453,-0.49896187343253856,0.8328513177094692,-0.9561498051220143
27239,27241,0.0000198760,-0.49878571020557894,0.8332321498146716,-0.9558105441764881,-0.49879439700454103,0.833215941042753,-0.9558272501351587
27107,27109,0.0000200225,-0.4982556995603709,0.8343813011153037,-0.9547895903640939,-0.4982644686424805,0.8343650229857308,-0.9548064585250493
27059,27061,0.0000200763,-0.4980616142861702,0.8348003538996588,-0.9544156641018509,-0.49807041354117493,0.8347840504185774,-0.9544325917448567
26951,26953,0.0000201980,-0.4976222576404152,0.8357455348065755,-0.9535690748391878,-0.4976311252812703,0.8357291740280894,-0.9535861373024324
26891,26893,0.0000202662,-0.4973765653131828,0.8362720240401226,-0.95309558156138,-0.49738547124612464,0.836255631275394,-0.9531127195198132
26879,26881,0.0000202799,-0.49732728845978647,0.8363774413078583,-0.9530006099744794,-0.4973362020770501,0.8363610421325868,-0.9530177630833436
26861,26863,0.0000203004,-0.49725328643859407,0.8365356419689824,-0.9528579815190672,-0.49726221159859446,0.8365192331695669,-0.9528751573858188
26729,26731,0.0000204522,-0.49670740791737517,0.8376985293756837,-0.9518057339934342,-0.496716418324061,0.8376820496925199,-0.9518230779416682
26711,26713,0.0000204730,-0.4966325316278831,0.8378574809664747,-0.9516613811905779,-0.49664155374150926,0.8378409915753345,-0.9516787482224849
26699,26701,0.0000204869,-0.4965825553563866,0.8379634989788843,-0.951565030118847,-0.49659158528570413,0.8379470031101325,-0.9515824125618163
26681,26683,0.0000205078,-0.4965075026955422,0.8381226014909352,-0.9514203294371321,-0.4965165443650161,0.8381060958973202,-0.951437735029679
